No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
7785,LinkedIn,Praktisi Edu,Strategi Efisiensi Energi di Sekolah dengan Penggunaan Lampu LED,0,
7786,Antara News,@antaranews,Kemendiktisaintek: Mahasiswa Peserta MSIB Mulai Persiapkan Laporan,0,
7787,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana PIP Tahap I April Tersalurkan ke 10 Juta Siswa,0,
7788,Republika,@republikaonline,Efisiensi: Digitalisasi Database Siswa Mempercepat Proses Mutasi 60%,0,
7789,WhatsApp,Grup Guru,Iuran Wajib Guru untuk Bingkisan Anniversary Sekolah Rp150 Ribu,1,
7790,Facebook,Viral News,Dana BOS April Dipotong 20% untuk Biaya Operasional Satpol PP,1,
7791,X (Twitter),@LeakIndo,Terungkap: Ribuan Buku Bantuan Sekolah Ternyata Salah Cetak Massal,1,
7792,Kompas.com,@kompascom,Nadiem: Sertifikasi Guru Triwulan I Mulai Dicairkan Bertahap di April,0,
7793,Detik.com,@detikcom,Audit BPK: Penyaluran Dana Sertifikasi Guru 2023 Capai 99% Akurasi,0,
7794,TikTok,@vlogger_edu,Kabar Buruk: Mulai Mei Seluruh Kantin Sekolah Dilarang Jual Gorengan,1,
7795,Instagram,@stophoax,Link Pendaftaran Beasiswa S1 Australia Jalur Khusus Tanpa Tes Ijazah,1,
7796,WhatsApp,Grup Sekolah,Biaya Pengadaan AC Kelas Baru Rp200rb per Siswa Harus Bayar Tunai,1,
7797,Facebook,Info Beasiswa,Beasiswa S1 Perancis Tanpa Seleksi Khusus Pendaftar di Hari Pendidikan,1,
7798,X (Twitter),@EduLeaks,Dokumen Rahasia: Kurikulum Merdeka Akan Dibatalkan Tahun Depan,1,
7799,YouTube,@berita_sekolah,Kemendikbud Resmi Hapus Seragam Putih Abu-Abu Mulai Semester Depan,1,
7800,Antara News,@antaranews,Kemendikbudristek: Sekolah Wajib Lakukan Sosialisasi Anti Perundungan,0,
7801,CNBC Indonesia,@cnbcindonesia,Sri Mulyani Pastikan Dana Pendidikan 20% Tidak Dipangkas untuk Bansos,0,
7802,Media Indonesia,@mediaindonesia,Mendikbud: Mahasiswa Harus Memiliki Integritas Akademik yang Tinggi,0,
7803,Liputan6,@liputan6dotcom,Kemendikbudristek: Pendaftaran Guru Penggerak Angkatan 12 Dibuka April,0,
7804,Republika,@republikaonline,Efisiensi: Sistem E-Katalog Sektoral Berhasil Hemat Anggaran Alat TIK,0,
7805,Kompas.com,@kompascom,Kemendikbudristek: Verifikasi Data KIP Kuliah Jalur Mandiri Diperketat,0,
7806,Detik.com,@detikcom,Nadiem: Kurikulum Merdeka Tekankan Pembelajaran yang Berdiferensiasi,0,
7807,Antara News,@antaranews,Pemerintah Salurkan Bantuan Alat Praktik ke 200 SMK Maritim di April,0,
7808,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana Abadi Pendidikan Bantu Inovasi Teknologi Nasional,0,
7809,Republika,@republikaonline,Efisiensi: Digitalisasi Sertifikasi Guru Pangkas Waktu Pengurusan 3 Bulan,0,
7810,Kompas.com,@kompascom,Nadiem Makarim: Vokasi Berperan Penting dalam Hilirisasi Industri Nasional,0,
7811,Detik.com,@detikcom,Audit BPK: Efisiensi Pengadaan Alat Praktik SMK Meningkat 30% di 2024,0,
7812,Antara News,@antaranews,Kemendikbudristek Luncurkan Program Sastra Masuk Kurikulum Sekolah,0,
7813,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Realisasi Belanja Fungsi Pendidikan Sesuai Proyeksi Q2,0,
7814,Republika,@republikaonline,Efisiensi: Aplikasi Srikandi Berhasil Kurangi Biaya ATK Hingga 50%,0,
7815,Kompas.com,@kompascom,Kemendikbudristek: Pendaftaran UTBK-SNBT 2024 Berlangsung Lancar,0,
7816,Detik.com,@detikcom,Nadiem: Kolaborasi Guru di PMM Mempercepat Pemerataan Kualitas,0,
7817,Antara News,@antaranews,Pemerintah Salurkan 5.000 Paket Buku Bacaan ke Wilayah Terpencil,0,
7818,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Penyerapan Dana PIP April Sesuai dengan Perkiraan,0,
7819,Republika,@republikaonline,Efisiensi: Digitalisasi Database Guru Pangkas Jalur Birokrasi Pensiun,0,
7820,Kompas.com,@kompascom,Kemendikbudristek Beri Penghargaan bagi Sekolah dengan Literasi Terbaik,0,
7821,Detik.com,@detikcom,Nadiem: Inovasi Pembelajaran Guru Meningkat Melalui Fitur Baru PMM,0,
7822,Antara News,@antaranews,Pemerintah Salurkan Bantuan Alat Laboratorium ke 300 SMA Unggulan,0,
7823,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana Abadi Pendidikan Dukung Studi Mahasiswa Luar Negeri,0,
7824,Republika,@republikaonline,Efisiensi: Digitalisasi Laporan Keuangan Sekolah Menekan Penggunaan Kertas,0,
7825,Kompas.com,@kompascom,Nadiem: Rapor Pendidikan Membantu Orang Tua Memantau Mutu Sekolah,0,
7826,Detik.com,@detikcom,Audit BPK: Penggunaan Dana BOSP 2023 Menunjukkan Peningkatan Kualitas,0,
7827,Antara News,@antaranews,Kemendiktisaintek: Peserta Magang Merdeka Mulai Presentasi Proyek,0,
7828,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana Abadi Pendidikan Bantu Penanganan Siswa Putus Sekolah,0,
7829,Republika,@republikaonline,Efisiensi: Digitalisasi Sertifikasi Guru Mempercepat Pencairan Tunjangan,0,
7830,Kompas.com,@kompascom,Kemendikbudristek: Sekolah Wajib Mengalokasikan Dana BOS untuk Buku,0,
7831,Detik.com,@detikcom,Nadiem: Mahasiswa MBKM Harus Memiliki Daya Saing di Tingkat Global,0,
7832,Antara News,@antaranews,Pemerintah Beri Bantuan Dana Rehab Ruang Kelas bagi 1.200 SD di April,0,
7833,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana Abadi Kebudayaan 2024 untuk Inovasi Seni Kreatif,0,
7834,Republika,@republikaonline,Efisiensi: Sistem E-Audit Berhasil Mempercepat Pelaporan Dana Sekolah,0,
7835,Kompas.com,@kompascom,Nadiem: Penggunaan Dana BOSP Kini Lebih Fleksibel untuk Gaji Honorer,0,
7836,Detik.com,@detikcom,Audit BPK: Penyaluran Dana PIP 2023 Lebih Akurat dan Tepat Sasaran,0,
7837,Antara News,@antaranews,Kemendikbudristek: Sekolah Inklusif Menjadi Prioritas Utama di 2024,0,
7838,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Alokasi Dana Pendidikan 2024 Mencapai Rp665 Triliun,0,
7839,Republika,@republikaonline,Efisiensi: SIPLah Berhasil Menurunkan Biaya Pengadaan Barang Sekolah,0,
7840,Kompas.com,@kompascom,Kemendikbudristek: Tidak Ada Perubahan Kebijakan Seragam Sekolah,0,
7841,Detik.com,@detikcom,Nadiem: Guru Penggerak Adalah Kunci Utama Transformasi Pendidikan,0,
7842,Antara News,@antaranews,Pemerintah Salurkan Bantuan Bus Sekolah ke 50 Daerah Tertinggal,0,
7843,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Realisasi Belanja Pendidikan April Capai Rp45 Triliun,0,
7844,Republika,@republikaonline,Efisiensi: Pengadaan Barang via SIPLah Hemat 15% Anggaran Negara,0,
7845,Kompas.com,@kompascom,Kemendikbudristek: Sekolah Dilarang Menahan Ijazah Siswa,0,
7846,Detik.com,@detikcom,Nadiem: Pendidikan Karakter Adalah Fondasi Utama Kurikulum Merdeka,0,
7847,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Penyerapan Anggaran Pendidikan April Stabil dan Teratur,0,
7848,Antara News,@antaranews,Pemerintah Salurkan Bantuan Alat TIK ke 1000 Sekolah di April,0,
7849,WhatsApp,Grup RT,Sekolah yang Tidak Ikut Karnaval Mei Akan Didenda Rp1 Juta per Kelas,1,
7850,Facebook,Info Beasiswa,Beasiswa S1 Taiwan Jalur Mudik Pendaftaran April Tanpa Berkas,1,
7851,Instagram,@cekfakta_id,Video Nadiem Menyebut Seluruh Siswa Wajib Membeli Kamus Digital,1,
7852,Kompas.com,@kompascom,"Hardiknas 2024: Kemendikbudristek Usung Tema ""Bergerak Bersama, Lanjutkan Merdeka Belajar""",0,
7853,Detik.com,@detikcom,Nadiem Makarim: UTBK-SNBT 2024 Gelombang I Berjalan Kondusif di 74 Pusat UTBK,0,
7854,WhatsApp,Forwarded,"Link Subsidi ""Uang Hardiknas"" Rp600 Ribu bagi Guru Honorer klik bit.ly/hardiknas-24",1,
7855,Facebook,Viral News,Dana BOS Mei Dialihkan untuk Membiayai Perayaan Ulang Tahun Pejabat Daerah,1,
7856,X (Twitter),@PolitikUpdate,Terungkap: Anggaran Sewa Artis untuk Acara Hardiknas Kemendikbud Capai Rp5 Miliar,1,
7857,TikTok,@news_update,Bahaya! Radiasi dari Fingerprint Absensi Sekolah Bisa Sebabkan Kerusakan Syaraf,1,
7858,Instagram,@fakta_edu,Siswa yang Tidak Hadir Upacara Hardiknas Akan Dipotong Nilai Raportnya 10 Poin,1,
7859,WhatsApp,Grup RT,"Link Pendaftaran Beasiswa S1 Jalur ""Peringatan Hardiknas"" Tanpa Seleksi Ijazah",1,
7860,Antara News,@antaranews,Kemendikbudristek: Sekolah Wajib Membentuk Satgas Pencegahan Kekerasan (TPPK),0,
7861,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Anggaran Pendidikan Mei Difokuskan pada Sarana Laboratorium SMK,0,
7862,Republika,@republikaonline,Efisiensi: Implementasi Cloud Computing di Kampus Hemat Biaya Server Rp200 Juta,0,
7863,CNN Indonesia,@CNNIndonesia,Nadiem: Pemerintah Batalkan Kenaikan UKT di Perguruan Tinggi Negeri Tahun Ini,0,
7864,Tempo.co,@tempodotco,Kemendikbudristek Rilis Pedoman PPDB 2024: Jalur Zonasi Tetap Menjadi Prioritas,0,
7865,WhatsApp,Grup Guru,"Link Subsidi ""Laptop Hardiknas"" dari Kemdikbud Khusus Guru PNS klik bit.ly",1,
7866,Facebook,Info Cepat,Mulai Juni Seluruh Kantin Sekolah Wajib Menyediakan Makanan Organik Mahal,1,
7867,X (Twitter),@LeakIndo,Dana Sertifikasi Guru Mei Tidak Cair Karena Digunakan untuk Proyek IKN,1,
7868,Kompas.com,@kompascom,Kemendikbudristek: Siswa yang Belum Lulus UKT Bisa Ajukan Keringanan (Sanggah),0,
7869,Detik.com,@detikcom,Audit BPK: Penggunaan Dana PIP 2024 Tahap I Capai 97% Ketepatan Sasaran,0,
7870,TikTok,@vlogger_edu,Kabar Buruk: Tahun Ajaran Baru Dimajukan ke Minggu Pertama Juni Secara Serentak,1,
7871,Instagram,@stophoax,"Beasiswa S1 Belanda Jalur ""Tulip Mei"" Pendaftaran Tanpa Syarat TOEFL/IELTS",1,
7872,WhatsApp,Grup Sekolah,Iuran Wajib Siswa untuk Biaya Perbaikan Taman Sekolah Rp150 Ribu per Orang,1,
7873,Facebook,Kabar Guru,Guru yang Tidak Mengikuti Pelatihan AI di PMM Akan Diturunkan Golongannya,1,
7874,X (Twitter),@EduLeaks,Dokumen Bocor: Pemerintah Akan Menghapus Mata Pelajaran Seni Budaya di SMP,1,
7875,YouTube,@berita_sekolah,Kemendikbud Resmi Umumkan Libur Semester Genap Ditiadakan untuk SMK,1,
7876,Antara News,@antaranews,Kemendiktisaintek: Mahasiswa MSIB Angkatan 6 Mulai Persiapkan Presentasi Akhir,0,
7877,CNBC Indonesia,@cnbcindonesia,Sri Mulyani Pastikan Alokasi Gaji Guru PPPK Mei Tersedia di Kas Daerah,0,
7878,Media Indonesia,@mediaindonesia,Mendikbud: Revitalisasi Bahasa Daerah Menjadi Fokus Literasi Nasional 2024,0,
7879,Liputan6,@liputan6dotcom,Kemendikbudristek: Pendaftaran PPG Prajabatan Gelombang 2 Dibuka Akhir Mei,0,
7880,Republika,@republikaonline,Efisiensi: Penggunaan Sistem E-Reporting Dana BOS Pangkas Birokrasi Dinas,0,
7881,WhatsApp,Forwarded,"Link Subsidi ""Uang Kuota Hardiknas"" 75GB dari Kemdikbud klik bit.ly/pulsa-mei",1,
7882,Facebook,Viral News,Dana Pendidikan Mei Dialihkan untuk Subsidi BBM Jelang Libur Panjang,1,
7883,TikTok,@news_update,Bahaya! Menggunakan Stabilo Warna Neon Bisa Menyebabkan Iritasi Mata Permanen,1,
7884,Kompas.com,@kompascom,Kemendikbudristek: Peserta UTBK-SNBT Wajib Membawa Dokumen Asli Saat Ujian,0,
7885,Detik.com,@detikcom,Nadiem: Program Indonesian International Student Mobility Awards (IISMA) Dilepas,0,
7886,Antara News,@antaranews,Pemerintah Salurkan Alat Peraga IPA ke 1.200 Madrasah Tsanawiyah di Mei,0,
7887,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Surplus Anggaran Pendidikan Digunakan untuk Beasiswa S2/S3,0,
7888,Republika,@republikaonline,Efisiensi: Digitalisasi Kearsipan di Sekolah Hemat Anggaran Gudang Dokumen,0,
7889,WhatsApp,Grup Guru,Iuran Wajib Guru untuk Bingkisan Farewell Kepala Bidang Pendidikan Rp200rb,1,
7890,Facebook,Info Beasiswa,Beasiswa S1 Selandia Baru Tanpa Tes Wawancara Khusus Pendaftar Mei,1,
7891,X (Twitter),@PolitikNews,Dana BOS Mei Macet Karena Kas Negara Terpakai Membayar Cicilan Pesawat Tempur,1,
7892,CNN Indonesia,@CNNIndonesia,Nadiem: Guru Honorer yang Lolos Seleksi ASN PPPK Mulai Terima SK di Mei,0,
7893,Antara News,@antaranews,Kemendikbudristek Gelar Festival Film Pelajar Nasional untuk Siswa SMA/SMK,0,
7894,Liputan6,@liputan6dotcom,Cara Melakukan Verifikasi Nilai Rapor di Sistem PPDB 2024 Secara Mandiri,0,
7895,Tempo.co,@tempodotco,Pemerintah Tegaskan Tidak Ada Kenaikan Tarif Listrik untuk Fasilitas Sekolah,0,
7896,Republika,@republikaonline,Efisiensi: Pengadaan Tablet Pelajar via SIPLah Lebih Murah 15% dari Harga Pasar,0,
7897,WhatsApp,Grup RT,Sekolah yang Tidak Memasang Bendera Merah Putih Selama Mei Akan Didenda,1,
7898,Facebook,Kabar Guru,Guru yang Belum Memiliki Sertifikat Webinar AI Tidak Bisa Cairkan Tunjangan,1,
7899,X (Twitter),@LeakIndo,Terungkap: Pengadaan Buku Kurikulum Merdeka Mei Menggunakan Kertas Kualitas Rendah,1,
7900,Kompas.com,@kompascom,Kemendikbudristek: Pengumuman Hasil Kelulusan SMA/SMK Secara Serentak di Mei,0,
7901,Detik.com,@detikcom,Nadiem Makarim: Rapor Pendidikan 3.0 Kini Lebih Mudah Diakses via Mobile,0,
7902,Antara News,@antaranews,Pemerintah Beri Bantuan Bus Sekolah Elektrik untuk 5 Kota Besar di Mei,0,
7903,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Belanja Pendidikan Mei Terserap 45% untuk Sarpras PTN,0,
7904,Republika,@republikaonline,Efisiensi: Integrasi Dapodik-Dukcapil Percepat Verifikasi PPDB Hingga 70%,0,
7905,WhatsApp,Forwarded,"Link Subsidi ""Uang Perpisahan Sekolah"" Rp300 Ribu klik bit.ly/lulus-24",1,
7906,Facebook,Info Cepat,Mulai Juli Siswa Hanya Boleh Membawa Tas Transparan untuk Alasan Keamanan,1,
7907,X (Twitter),@EduLeaks,Dokumen Rahasia: Status Guru Tetap Yayasan Akan Dihapus Mulai Tahun Depan,1,
7908,Kompas.com,@kompascom,Kemendikbudristek: Simak Jadwal dan Aturan Pendaftaran UTBK-SNBT Gelombang II,0,
7909,Detik.com,@detikcom,Nadiem: SMK Pusat Keunggulan Harus Menjadi Penggerak Ekonomi Daerah,0,
7910,TikTok,@news_update,Bahaya! Radiasi Sinyal Wi-Fi Sekolah Bisa Menyebabkan Rambut Siswa Rontok,1,
7911,Instagram,@faktakita,Mahasiswa Penerima Beasiswa Wajib Membeli Laptop di Koperasi Kampus,1,
7912,LinkedIn,Analis Publik,Efisiensi Anggaran Pendidikan Melalui Program Berbagi Fasilitas Antar Sekolah,0,
7913,Antara News,@antaranews,Kemendiktisaintek: Mahasiswa Program Pertukaran Merdeka Mulai Kembali ke Kampus,0,
7914,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Realisasi Belanja Fungsi Pendidikan Sesuai Jalur APBN 2024,0,
7915,Media Indonesia,@mediaindonesia,Mendikbud: Kurikulum Merdeka Memberikan Ruang Eksplorasi Minat bagi Siswa,0,
7916,Liputan6,@liputan6dotcom,Kemendikbudristek: Sekolah Dilarang Memungut Biaya Perpisahan yang Memberatkan,0,
7917,Republika,@republikaonline,Efisiensi: Sistem SIPLah Berhasil Menurunkan Biaya Pengadaan ATK Sekolah 12%,0,
7918,Kompas.com,@kompascom,Nadiem: Pemanfaatan Dana BOSP Kini Bisa Digunakan untuk Sewa Internet,0,
7919,Detik.com,@detikcom,Audit BPK: Penyaluran Dana Sertifikasi Guru 2024 Tahap I Tepat Waktu,0,
7920,Antara News,@antaranews,Pemerintah Salurkan Bantuan Alat Olahraga ke 800 SMP di Daerah 3T,0,
7921,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana Abadi Pendidikan Bantu Riset Ketahanan Pangan Nasional,0,
7922,Republika,@republikaonline,Kemendikbudristek Hapus Kewajiban Laporan Fisik bagi Guru Penggerak Mei,0,
7923,Kompas.com,@kompascom,Kemendikbudristek: Sekolah Inklusif Wajib Sediakan Fasilitas Ramah Disabilitas,0,
7924,Detik.com,@detikcom,Nadiem: Kurikulum Merdeka Menurunkan Beban Administrasi Guru Secara Signifikan,0,
7925,Antara News,@antaranews,Pemerintah Salurkan Bantuan Dana Sarpras ke 1.500 Sekolah Dasar di Mei,0,
7926,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Alokasi Dana Pendidikan 2024 Tetap Menjadi Prioritas Utama,0,
7927,Republika,@republikaonline,Efisiensi: Pengadaan Laptop Pelajar via Katalog Elektronik Hemat 15% Anggaran,0,
7928,Kompas.com,@kompascom,Nadiem Makarim: Vokasi Berperan Penting dalam Membangun Tenaga Kerja Ahli,0,
7929,Detik.com,@detikcom,Audit BPK: Efisiensi Pengadaan Alat Praktik SMK Meningkat 30% di 2024,0,
7930,Antara News,@antaranews,"Kemendikbudristek Luncurkan Program ""Sastra Masuk Kurikulum"" di Mei",0,
7931,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Realisasi Belanja Fungsi Pendidikan Mei Mencapai Target Q2,0,
7932,Republika,@republikaonline,Efisiensi: Aplikasi Srikandi Berhasil Kurangi Penggunaan Kertas di Dinas 55%,0,
7933,Kompas.com,@kompascom,Kemendikbudristek: Pendaftaran UTBK-SNBT 2024 Berlangsung Sangat Lancar,0,
7934,Detik.com,@detikcom,Nadiem: Kolaborasi Guru di PMM Mempercepat Pemerataan Kualitas Pendidikan,0,
7935,Antara News,@antaranews,Pemerintah Salurkan 5.000 Paket Buku Bacaan Bermutu ke Sekolah Terpencil,0,
7936,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Penyerapan Dana PIP Mei Sesuai dengan Proyeksi Kemenkeu,0,
7937,Republika,@republikaonline,Efisiensi: Digitalisasi Database Guru Pangkas Waktu Pengurusan Pensiun 40%,0,
7938,Kompas.com,@kompascom,Kemendikbudristek Beri Penghargaan bagi Sekolah dengan Literasi Terbaik,0,
7939,Detik.com,@detikcom,Nadiem: Inovasi Pembelajaran Guru Meningkat Melalui Fitur Baru di PMM,0,
7940,Antara News,@antaranews,Pemerintah Salurkan Bantuan Alat Laboratorium ke 500 SMA Unggulan di Mei,0,
7941,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana Abadi Pendidikan Dukung Mahasiswa Studi ke Luar Negeri,0,
7942,Republika,@republikaonline,Efisiensi: Digitalisasi Laporan Keuangan Sekolah Tekan Penggunaan Kertas,0,
7943,Kompas.com,@kompascom,Nadiem: Rapor Pendidikan Membantu Wali Murid Pantau Mutu Sekolah Anak,0,
7944,Detik.com,@detikcom,Audit BPK: Penggunaan Dana BOSP 2023 Tunjukkan Peningkatan Akuntabilitas,0,
7945,Antara News,@antaranews,Kemendiktisaintek: Mahasiswa Magang Merdeka Mulai Sidang Laporan Akhir,0,
7946,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana Abadi Pendidikan Bantu Penanganan Siswa Putus Sekolah,0,
7947,Republika,@republikaonline,Efisiensi: Digitalisasi Sertifikasi Guru Mempercepat Pencairan Tunjangan,0,
7948,Kompas.com,@kompascom,Kemendikbudristek: Sekolah Wajib Alokasikan Dana BOS untuk Penguatan Perpustakaan,0,
7949,Detik.com,@detikcom,Nadiem: Mahasiswa MBKM Harus Memiliki Daya Saing Tinggi di Pasar Kerja,0,
7950,Antara News,@antaranews,Pemerintah Beri Bantuan Dana Rehab Ruang Kelas bagi 1.000 SD di Bulan Mei,0,
7951,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Dana Abadi Kebudayaan 2024 Dukung Inovasi Seni Komunitas,0,
7952,Republika,@republikaonline,Efisiensi: Sistem E-Audit Berhasil Mempercepat Verifikasi Dana Sekolah,0,
7953,Kompas.com,@kompascom,Nadiem: Penggunaan Dana BOSP Kini Fleksibel untuk Operasional Ekstrakurikuler,0,
7954,Detik.com,@detikcom,Audit BPK: Penyaluran Dana PIP 2023 Lebih Akurat dengan Sistem Baru,0,
7955,Antara News,@antaranews,Kemendikbudristek: Sekolah Inklusif Menjadi Prioritas Pembangunan Sarana,0,
7956,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Alokasi Dana Fungsi Pendidikan 2024 Mencapai Rp665 Triliun,0,
7957,Republika,@republikaonline,Efisiensi: SIPLah Berhasil Menurunkan Biaya Pengadaan Barang Sekolah 15%,0,
7958,Kompas.com,@kompascom,Kemendikbudristek: Tidak Ada Perubahan Kebijakan Terkait Seragam Nasional,0,
7959,Detik.com,@detikcom,Nadiem: Guru Penggerak Menjadi Kunci Transformasi Pembelajaran di Kelas,0,
7960,Antara News,@antaranews,Pemerintah Salurkan Bantuan Bus Sekolah ke 100 Kabupaten Tertinggal,0,
7961,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Realisasi Belanja Pendidikan Mei Mencapai Rp48 Triliun,0,
7962,Republika,@republikaonline,Efisiensi: Pengadaan Alat TIK via Katalog Elektronik Hemat Anggaran Negara,0,
7963,Kompas.com,@kompascom,Kemendikbudristek: Sekolah Dilarang Menahan Ijazah Siswa yang Sudah Lulus,0,
7964,Detik.com,@detikcom,Nadiem: Pendidikan Karakter Merupakan Fondasi Utama Kurikulum Merdeka,0,
7965,Antara News,@antaranews,Pemerintah Salurkan Bantuan Alat TIK ke 1.500 Sekolah di Akhir Mei,0,
7966,CNBC Indonesia,@cnbcindonesia,Sri Mulyani: Penyerapan Anggaran Pendidikan Mei Tetap Stabil dan Terkendali,0,
7967,WhatsApp,Forwarded,"Link Subsidi ""Baju Seragam Gratis"" dari Kemdikbud klik bit.ly/seragam-mei",1,
7968,Facebook,Viral News,Dana BOS Mei Dialokasikan untuk Membeli Suplemen Vitamin Pejabat Daerah,1,
7969,X (Twitter),@LeakIndo,Terungkap: Dana Rehab Laboratorium Rp500 Miliar Dikorupsi Melalui Vendor X,1,
7970,TikTok,@vlogger_edu,Mulai Juni Jam Masuk Sekolah Dimajukan Menjadi Pukul 06.15 Secara Nasional,1,
7971,Instagram,@cekfakta_id,Video Nadiem Menyebut Guru Akan Diganti dengan Robot di Tahun 2025,1,
7972,WhatsApp,Grup Sekolah,Biaya Pengadaan Meja Kursi Baru Rp250 Ribu per Siswa Wajib Bayar Mei,1,
7973,Facebook,Info Beasiswa,"Beasiswa S1 Korea Selatan Jalur ""Mei Ceria"" Pendaftaran Tanpa Paspor",1,
7974,X (Twitter),@PolitikNews,Dana Sertifikasi Guru Mei Macet Karena Digunakan Membayar Buzzer Negara,1,
7975,TikTok,@news_update,Bahaya! Menulis dengan Pulpen Tinta Merah Bisa Menyebabkan Penyakit Kulit,1,
7976,Instagram,@faktakita,Siswa yang Tidak Membeli Kaos Hardiknas di Koperasi Akan Dihukum,1,
7977,WhatsApp,Forwarded,"Link Subsidi ""Uang Saku Mahasiswa Mei"" Rp450 Ribu klik bit.ly/mhs-mei",1,
7978,Facebook,Kabar Guru,Guru yang Sering Share Link Berita Politik Akan Dicabut Sertifikasinya,1,
7979,X (Twitter),@EduLeaks,Dokumen Bocor: Pemerintah Akan Menghapus Status Kepegawaian Guru Honorer,1,
7980,YouTube,@berita_sekolah,Kemendikbud Resmi Hapus Mata Pelajaran Bahasa Inggris di Tingkat SD,1,
7981,WhatsApp,Grup RT,Sekolah yang Tidak Mengadakan Bakti Sosial Mei Akan Kena Denda Administratif,1,
7982,Facebook,Viral News,Dana Pendidikan Mei Dipotong 20% untuk Menutup Hutang Kereta Cepat,1,
7983,X (Twitter),@LeakIndo,Terungkap: Jutaan Tablet Bantuan Sekolah Ternyata Memiliki Bug Penyadapan,1,
7984,TikTok,@vlogger_edu,Mulai Juli Libur Hari Sabtu Resmi Dihapus untuk Mengejar Kurikulum Merdeka,1,
7985,Instagram,@cekfakta_id,Video Nadiem Menyebut Siswa Wajib Membeli Gadget Terbaru Setiap Semester,1,
7986,WhatsApp,Grup Sekolah,Iuran Wajib Guru untuk Paket Parsel Farewell Pengawas Rp150 Ribu,1,
7987,Facebook,Info Cepat,Beasiswa S1 Jerman Jalur Khusus Mei Pendaftaran Tanpa Ijazah Asli,1,
7988,X (Twitter),@PolitikUpdate,Dana Rehab Sekolah Rp300 Miliar Hilang dalam Investasi Saham Bodong,1,
7989,TikTok,@news_update,Bahaya! Menggunakan Penghapus Karet Hitam Bisa Sebabkan Iritasi Paru,1,
7990,Instagram,@faktakita,Mahasiswa KIP Kuliah Wajib Menyerahkan Foto Rumah Terbaru untuk Cairkan Dana,1,
7991,WhatsApp,Forwarded,"Link Subsidi ""Uang Transportasi Sekolah"" Rp200 Ribu klik bit.ly/transport-24",1,
7992,Facebook,Kabar Guru,Guru yang Sering Mengupload Konten TikTok di Sekolah Akan Diberhentikan,1,
7993,X (Twitter),@EduLeaks,Dokumen Rahasia: Kurikulum Merdeka Akan Diganti dengan Kurikulum X di Juli,1,
7994,YouTube,@berita_sekolah,Kemendikbud Resmi Hapus Seragam Putih Abu-Abu Mulai Tahun Ajaran Depan,1,
7995,WhatsApp,Grup Sekolah,Biaya Administrasi Pengaktifan Kartu Pelajar Baru Rp75 Ribu Harus Tunai,1,
7996,Facebook,Viral News,Dana Pendidikan Mei Dialirkan untuk Subsidi Minyak Goreng Curah Nasional,1,
7997,X (Twitter),@LeakIndo,Terungkap: Dana Pengadaan Laboratorium Sekolah Ternyata Barang Rekondisi,1,
7998,TikTok,@vlogger_edu,Mulai Agustus Jam Istirahat Hanya 10 Menit untuk Fokus Pengerjaan Tugas,1,
7999,Instagram,@cekfakta_id,Video Nadiem Menyebut Siswa Wajib Membayar Pajak Pendidikan Mulai Juni,1,
8000,WhatsApp,Grup Guru,Iuran Wajib Guru untuk Dana Hibah Pembangunan Gedung Dinas Rp300 Ribu,1,
8001,Facebook,Info Beasiswa,Beasiswa S1 Taiwan Jalur Hardiknas Pendaftaran Mei Tanpa Berkas Ijazah,1,
8002,Kompas.com,@kompascom,Pengumuman Hasil UTBK-SNBT 2024: Simak Cara Cek dan Link Resminya,0,
8003,Detik.com,@detikcom,Nadiem: Peserta Lolos SNBT Wajib Melakukan Registrasi Ulang di PTN Tujuan,0,
8004,WhatsApp,Forwarded,"Link Subsidi ""Uang Syukuran Kelulusan"" Rp750 Ribu bagi Siswa SMA klik bit.ly",1,
8005,Facebook,Viral News,Dana BOS Juni Dipotong 30% untuk Biaya Pengamanan Pilkada Serentak,1,
